                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      0.750000 Msun            Mc/Mtot     =  3.33944E-03
 Rtot =      1.008439 Rsun            Rc/Rtot     =  6.00000E-03
 Ltot =      0.189000 Lsun            Lc/Ltot     =  1.86845E-01
 Teff =   3788.500000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  2.82053-312 ergs/s/g
                                      dlnP/dlnT   =  2.48897E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.491750E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  4.63E+10 7.16E-03 7.23E+32 1.20E+06 1.38E+13 8.60E-02 1.72E+01 1.43E-09 r  4.5
  4.63E+10 7.05E-03 7.23E+32 1.19E+06 1.35E+13 8.46E-02 1.72E+01 1.35E-09 r  4.5
  4.64E+10 6.95E-03 7.23E+32 1.19E+06 1.33E+13 8.33E-02 1.72E+01 1.27E-09 r  4.5
  4.65E+10 6.84E-03 7.23E+32 1.18E+06 1.30E+13 8.20E-02 1.73E+01 1.19E-09 r  4.5
  4.65E+10 6.74E-03 7.23E+32 1.18E+06 1.27E+13 8.07E-02 1.73E+01 1.12E-09 r  4.5
  4.66E+10 6.63E-03 7.23E+32 1.17E+06 1.25E+13 7.95E-02 1.74E+01 1.06E-09 r  4.5
  4.67E+10 6.53E-03 7.23E+32 1.17E+06 1.22E+13 7.82E-02 1.74E+01 9.95E-10 r  4.5
  4.67E+10 6.43E-03 7.23E+32 1.16E+06 1.20E+13 7.70E-02 1.75E+01 9.36E-10 r  4.5
  4.68E+10 6.33E-03 7.23E+32 1.16E+06 1.17E+13 7.58E-02 1.75E+01 8.81E-10 r  4.5
  4.69E+10 6.24E-03 7.23E+32 1.15E+06 1.15E+13 7.46E-02 1.75E+01 8.28E-10 r  4.5
  4.70E+10 6.14E-03 7.23E+32 1.15E+06 1.13E+13 7.34E-02 1.76E+01 7.79E-10 r  4.5
  4.70E+10 6.05E-03 7.23E+32 1.14E+06 1.10E+13 7.22E-02 1.76E+01 7.32E-10 r  4.5
  4.71E+10 5.95E-03 7.23E+32 1.14E+06 1.08E+13 7.11E-02 1.77E+01 6.88E-10 r  4.5
  4.72E+10 5.86E-03 7.23E+32 1.13E+06 1.06E+13 6.99E-02 1.77E+01 6.46E-10 r  4.5
  4.72E+10 5.77E-03 7.23E+32 1.13E+06 1.04E+13 6.88E-02 1.78E+01 6.07E-10 r  4.5
  4.73E+10 5.68E-03 7.23E+32 1.12E+06 1.02E+13 6.77E-02 1.78E+01 5.71E-10 r  4.5
  4.74E+10 5.59E-03 7.23E+32 1.12E+06 9.96E+12 6.66E-02 1.78E+01 5.36E-10 r  4.5
  4.74E+10 5.50E-03 7.23E+32 1.11E+06 9.76E+12 6.56E-02 1.79E+01 5.03E-10 r  4.5
  4.75E+10 5.41E-03 7.23E+32 1.11E+06 9.55E+12 6.45E-02 1.79E+01 4.73E-10 r  4.5
  4.76E+10 5.33E-03 7.23E+32 1.10E+06 9.36E+12 6.35E-02 1.80E+01 4.44E-10 r  4.5
  4.77E+10 5.24E-03 7.23E+32 1.10E+06 9.17E+12 6.25E-02 1.80E+01 4.16E-10 r  4.5
  4.77E+10 5.16E-03 7.23E+32 1.09E+06 8.98E+12 6.14E-02 1.81E+01 3.91E-10 r  4.5
  4.78E+10 5.08E-03 7.23E+32 1.09E+06 8.79E+12 6.04E-02 1.81E+01 3.67E-10 r  4.5
  4.79E+10 5.00E-03 7.23E+32 1.08E+06 8.61E+12 5.95E-02 1.82E+01 3.44E-10 r  4.5
  4.79E+10 4.92E-03 7.23E+32 1.08E+06 8.43E+12 5.85E-02 1.82E+01 3.23E-10 r  4.5
  4.80E+10 4.84E-03 7.23E+32 1.07E+06 8.25E+12 5.76E-02 1.83E+01 3.02E-10 r  4.5
  4.81E+10 4.76E-03 7.23E+32 1.07E+06 8.08E+12 5.66E-02 1.83E+01 2.84E-10 r  4.5
  4.81E+10 4.68E-03 7.23E+32 1.06E+06 7.91E+12 5.57E-02 1.83E+01 2.66E-10 r  4.5
  4.82E+10 4.61E-03 7.23E+32 1.06E+06 7.75E+12 5.48E-02 1.84E+01 2.49E-10 r  4.5
  4.83E+10 4.53E-03 7.23E+32 1.05E+06 7.59E+12 5.39E-02 1.84E+01 2.33E-10 r  4.5
  4.84E+10 4.46E-03 7.23E+32 1.05E+06 7.43E+12 5.30E-02 1.85E+01 2.19E-10 r  4.5
  4.84E+10 4.39E-03 7.23E+32 1.04E+06 7.27E+12 5.21E-02 1.85E+01 2.05E-10 r  4.5
  4.85E+10 4.31E-03 7.23E+32 1.04E+06 7.12E+12 5.13E-02 1.86E+01 1.92E-10 r  4.5
  4.86E+10 4.24E-03 7.23E+32 1.03E+06 6.97E+12 5.04E-02 1.86E+01 1.80E-10 r  4.5
  4.86E+10 4.17E-03 7.23E+32 1.03E+06 6.82E+12 4.96E-02 1.87E+01 1.68E-10 r  4.5
  4.87E+10 4.11E-03 7.23E+32 1.02E+06 6.68E+12 4.88E-02 1.87E+01 1.57E-10 r  4.5
  4.88E+10 4.04E-03 7.23E+32 1.02E+06 6.53E+12 4.80E-02 1.88E+01 1.47E-10 r  4.5
  4.88E+10 3.97E-03 7.23E+32 1.01E+06 6.40E+12 4.72E-02 1.88E+01 1.38E-10 r  4.5
  4.89E+10 3.90E-03 7.23E+32 1.01E+06 6.26E+12 4.64E-02 1.89E+01 1.29E-10 r  4.5
  4.90E+10 3.84E-03 7.23E+32 1.00E+06 6.13E+12 4.56E-02 1.89E+01 1.20E-10 r  4.5
  4.91E+10 3.77E-03 7.23E+32 9.98E+05 5.99E+12 4.48E-02 1.90E+01 1.13E-10 r  4.5
  4.91E+10 3.71E-03 7.23E+32 9.93E+05 5.87E+12 4.41E-02 1.90E+01 1.05E-10 r  4.5
  4.92E+10 3.65E-03 7.23E+32 9.88E+05 5.74E+12 4.34E-02 1.91E+01 9.83E-11 r  4.5
  4.93E+10 3.59E-03 7.23E+32 9.84E+05 5.62E+12 4.26E-02 1.91E+01 9.18E-11 r  4.5
  4.93E+10 3.53E-03 7.23E+32 9.79E+05 5.50E+12 4.19E-02 1.92E+01 8.58E-11 r  4.5
  4.94E+10 3.47E-03 7.23E+32 9.74E+05 5.38E+12 4.12E-02 1.92E+01 8.01E-11 r  4.5
  4.95E+10 3.41E-03 7.23E+32 9.70E+05 5.26E+12 4.05E-02 1.93E+01 7.48E-11 r  4.5
  4.96E+10 3.35E-03 7.23E+32 9.65E+05 5.15E+12 3.98E-02 1.93E+01 6.98E-11 r  4.5
  4.96E+10 3.29E-03 7.23E+32 9.60E+05 5.03E+12 3.91E-02 1.94E+01 6.52E-11 r  4.5
  4.97E+10 3.24E-03 7.23E+32 9.56E+05 4.93E+12 3.85E-02 1.94E+01 6.08E-11 r  4.5
  4.98E+10 3.18E-03 7.23E+32 9.51E+05 4.82E+12 3.78E-02 1.95E+01 5.67E-11 r  4.5
  4.98E+10 3.12E-03 7.23E+32 9.46E+05 4.71E+12 3.72E-02 1.95E+01 5.29E-11 r  4.5
  4.99E+10 3.07E-03 7.23E+32 9.42E+05 4.61E+12 3.65E-02 1.96E+01 4.93E-11 r  4.5
  5.00E+10 3.02E-03 7.23E+32 9.37E+05 4.51E+12 3.59E-02 1.96E+01 4.60E-11 r  4.5
  5.00E+10 2.96E-03 7.23E+32 9.33E+05 4.41E+12 3.53E-02 1.97E+01 4.28E-11 r  4.5
  5.01E+10 2.91E-03 7.23E+32 9.28E+05 4.31E+12 3.47E-02 1.97E+01 3.99E-11 r  4.5
  5.02E+10 2.86E-03 7.23E+32 9.24E+05 4.22E+12 3.41E-02 1.98E+01 3.72E-11 r  4.5
  5.03E+10 2.81E-03 7.23E+32 9.19E+05 4.12E+12 3.35E-02 1.98E+01 3.46E-11 r  4.5
  5.03E+10 2.76E-03 7.23E+32 9.15E+05 4.03E+12 3.29E-02 1.99E+01 3.22E-11 r  4.5
  5.04E+10 2.71E-03 7.23E+32 9.10E+05 3.94E+12 3.23E-02 1.99E+01 3.00E-11 r  4.6
  5.05E+10 2.66E-03 7.23E+32 9.06E+05 3.85E+12 3.18E-02 2.00E+01 2.79E-11 r  4.6
  5.05E+10 2.62E-03 7.23E+32 9.01E+05 3.77E+12 3.12E-02 2.01E+01 2.60E-11 r  4.6
  5.06E+10 2.57E-03 7.23E+32 8.97E+05 3.68E+12 3.07E-02 2.01E+01 2.41E-11 r  4.6
  5.07E+10 2.52E-03 7.23E+32 8.92E+05 3.60E+12 3.01E-02 2.02E+01 2.25E-11 r  4.6
  5.07E+10 2.48E-03 7.23E+32 8.88E+05 3.52E+12 2.96E-02 2.02E+01 2.09E-11 r  4.6
  5.08E+10 2.43E-03 7.23E+32 8.83E+05 3.44E+12 2.91E-02 2.03E+01 1.94E-11 r  4.6
  5.09E+10 2.39E-03 7.23E+32 8.79E+05 3.36E+12 2.86E-02 2.03E+01 1.80E-11 r  4.6
  5.10E+10 2.35E-03 7.23E+32 8.74E+05 3.29E+12 2.81E-02 2.04E+01 1.67E-11 r  4.6
  5.10E+10 2.30E-03 7.23E+32 8.70E+05 3.21E+12 2.76E-02 2.04E+01 1.55E-11 r  4.6
  5.11E+10 2.26E-03 7.23E+32 8.66E+05 3.14E+12 2.71E-02 2.05E+01 1.44E-11 r  4.6
  5.12E+10 2.22E-03 7.23E+32 8.61E+05 3.07E+12 2.66E-02 2.06E+01 1.34E-11 r  4.6
  5.12E+10 2.18E-03 7.23E+32 8.57E+05 3.00E+12 2.61E-02 2.06E+01 1.24E-11 r  4.6
  5.13E+10 2.14E-03 7.23E+32 8.53E+05 2.93E+12 2.56E-02 2.07E+01 1.15E-11 r  4.6
  5.14E+10 2.10E-03 7.23E+32 8.48E+05 2.86E+12 2.52E-02 2.07E+01 1.07E-11 r  4.6
  5.14E+10 2.06E-03 7.23E+32 8.44E+05 2.80E+12 2.47E-02 2.08E+01 9.91E-12 r  4.6
  5.15E+10 2.02E-03 7.23E+32 8.40E+05 2.73E+12 2.43E-02 2.09E+01 9.18E-12 r  4.6
  5.16E+10 1.98E-03 7.23E+32 8.35E+05 2.67E+12 2.39E-02 2.09E+01 8.51E-12 r  4.6
  5.17E+10 1.95E-03 7.23E+32 8.31E+05 2.61E+12 2.34E-02 2.10E+01 7.88E-12 r  4.6
  5.17E+10 1.91E-03 7.23E+32 8.27E+05 2.55E+12 2.30E-02 2.10E+01 7.30E-12 r  4.6
  5.18E+10 1.87E-03 7.23E+32 8.22E+05 2.49E+12 2.26E-02 2.11E+01 6.76E-12 r  4.6
  5.19E+10 1.84E-03 7.23E+32 8.18E+05 2.43E+12 2.22E-02 2.12E+01 6.25E-12 r  4.6
  5.19E+10 1.80E-03 7.23E+32 8.14E+05 2.37E+12 2.18E-02 2.12E+01 5.79E-12 r  4.6
  5.20E+10 1.77E-03 7.23E+32 8.10E+05 2.32E+12 2.14E-02 2.13E+01 5.35E-12 r  4.6
  5.21E+10 1.74E-03 7.23E+32 8.06E+05 2.26E+12 2.10E-02 2.13E+01 4.95E-12 r  4.6
  5.21E+10 1.70E-03 7.23E+32 8.01E+05 2.21E+12 2.06E-02 2.14E+01 4.57E-12 r  4.6
  5.22E+10 1.67E-03 7.23E+32 7.97E+05 2.16E+12 2.02E-02 2.15E+01 4.23E-12 r  4.6
  5.23E+10 1.64E-03 7.23E+32 7.93E+05 2.11E+12 1.98E-02 2.15E+01 3.90E-12 r  4.6
  5.24E+10 1.61E-03 7.23E+32 7.89E+05 2.06E+12 1.95E-02 2.16E+01 3.60E-12 r  4.6
  5.24E+10 1.57E-03 7.23E+32 7.85E+05 2.01E+12 1.91E-02 2.16E+01 3.33E-12 r  4.6
  5.25E+10 1.54E-03 7.23E+32 7.80E+05 1.96E+12 1.87E-02 2.17E+01 3.07E-12 r  4.6
  5.26E+10 1.51E-03 7.23E+32 7.76E+05 1.91E+12 1.84E-02 2.18E+01 2.83E-12 r  4.6
  5.26E+10 1.48E-03 7.23E+32 7.72E+05 1.87E+12 1.80E-02 2.18E+01 2.61E-12 r  4.6
  5.27E+10 1.45E-03 7.23E+32 7.68E+05 1.82E+12 1.77E-02 2.19E+01 2.41E-12 r  4.6
  5.28E+10 1.42E-03 7.23E+32 7.64E+05 1.78E+12 1.74E-02 2.20E+01 2.22E-12 r  4.6
  5.29E+10 1.40E-03 7.23E+32 7.60E+05 1.73E+12 1.70E-02 2.20E+01 2.04E-12 r  4.6
  5.29E+10 1.37E-03 7.23E+32 7.56E+05 1.69E+12 1.67E-02 2.21E+01 1.88E-12 r  4.6
  5.30E+10 1.34E-03 7.23E+32 7.52E+05 1.65E+12 1.64E-02 2.22E+01 1.73E-12 r  4.6
