                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  4.37E+10 1.54E-02 3.83E+33 1.79E+06 6.43E+13 2.58E-01 4.68E+00 1.99E-07 r  4.4
  4.44E+10 1.34E-02 3.83E+33 1.71E+06 5.31E+13 2.23E-01 4.76E+00 1.18E-07 r  4.4
  4.50E+10 1.16E-02 3.83E+33 1.64E+06 4.37E+13 1.92E-01 4.85E+00 6.85E-08 r  4.4
  4.57E+10 1.00E-02 3.83E+33 1.56E+06 3.59E+13 1.65E-01 4.94E+00 3.93E-08 r  4.4
  4.58E+10 9.88E-03 3.83E+33 1.56E+06 3.52E+13 1.62E-01 4.95E+00 3.72E-08 r  4.4
  4.59E+10 9.73E-03 3.83E+33 1.55E+06 3.45E+13 1.60E-01 4.96E+00 3.51E-08 r  4.4
  4.59E+10 9.59E-03 3.83E+33 1.54E+06 3.38E+13 1.57E-01 4.97E+00 3.32E-08 r  4.4
  4.60E+10 9.44E-03 3.83E+33 1.54E+06 3.31E+13 1.55E-01 4.98E+00 3.14E-08 r  4.4
  4.61E+10 9.30E-03 3.83E+33 1.53E+06 3.25E+13 1.53E-01 4.99E+00 2.96E-08 r  4.4
  4.62E+10 9.16E-03 3.83E+33 1.52E+06 3.18E+13 1.50E-01 5.00E+00 2.80E-08 r  4.4
  4.62E+10 9.02E-03 3.83E+33 1.52E+06 3.12E+13 1.48E-01 5.01E+00 2.64E-08 r  4.4
  4.63E+10 8.89E-03 3.83E+33 1.51E+06 3.06E+13 1.46E-01 5.02E+00 2.50E-08 r  4.4
  4.64E+10 8.75E-03 3.83E+33 1.50E+06 3.00E+13 1.43E-01 5.03E+00 2.36E-08 r  4.4
  4.64E+10 8.62E-03 3.83E+33 1.49E+06 2.94E+13 1.41E-01 5.03E+00 2.22E-08 r  4.4
  4.65E+10 8.49E-03 3.83E+33 1.49E+06 2.88E+13 1.39E-01 5.04E+00 2.10E-08 r  4.4
  4.66E+10 8.36E-03 3.83E+33 1.48E+06 2.82E+13 1.37E-01 5.05E+00 1.98E-08 r  4.4
  4.66E+10 8.23E-03 3.83E+33 1.47E+06 2.76E+13 1.35E-01 5.06E+00 1.87E-08 r  4.4
  4.67E+10 8.10E-03 3.83E+33 1.47E+06 2.71E+13 1.33E-01 5.07E+00 1.76E-08 r  4.4
  4.68E+10 7.98E-03 3.83E+33 1.46E+06 2.65E+13 1.31E-01 5.08E+00 1.66E-08 r  4.4
  4.68E+10 7.85E-03 3.83E+33 1.45E+06 2.60E+13 1.28E-01 5.09E+00 1.57E-08 r  4.4
  4.69E+10 7.73E-03 3.83E+33 1.45E+06 2.55E+13 1.26E-01 5.10E+00 1.48E-08 r  4.4
  4.70E+10 7.61E-03 3.83E+33 1.44E+06 2.50E+13 1.24E-01 5.11E+00 1.39E-08 r  4.4
  4.70E+10 7.49E-03 3.83E+33 1.43E+06 2.45E+13 1.23E-01 5.12E+00 1.31E-08 r  4.4
  4.71E+10 7.37E-03 3.83E+33 1.43E+06 2.40E+13 1.21E-01 5.13E+00 1.24E-08 r  4.4
  4.72E+10 7.26E-03 3.83E+33 1.42E+06 2.35E+13 1.19E-01 5.14E+00 1.17E-08 r  4.4
  4.73E+10 7.14E-03 3.83E+33 1.41E+06 2.30E+13 1.17E-01 5.15E+00 1.10E-08 r  4.4
  4.73E+10 7.03E-03 3.83E+33 1.41E+06 2.25E+13 1.15E-01 5.16E+00 1.03E-08 r  4.4
  4.74E+10 6.92E-03 3.83E+33 1.40E+06 2.21E+13 1.13E-01 5.17E+00 9.74E-09 r  4.4
  4.75E+10 6.81E-03 3.83E+33 1.39E+06 2.16E+13 1.11E-01 5.18E+00 9.17E-09 r  4.4
  4.75E+10 6.70E-03 3.83E+33 1.39E+06 2.12E+13 1.10E-01 5.19E+00 8.63E-09 r  4.4
  4.76E+10 6.59E-03 3.83E+33 1.38E+06 2.07E+13 1.08E-01 5.20E+00 8.12E-09 r  4.4
