                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.500000 Msun            Mc/Mtot     = -6.02913E-04
 Rtot =      1.240758 Rsun            Rc/Rtot     =  1.68000E-01
 Ltot =      1.800000 Lsun            Lc/Ltot     =  9.20677E-01
 Teff =   6000.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49812E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  2.983500E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  6.05E+10 8.07E-03 6.89E+33 1.61E+06 2.21E+13 1.02E-01 7.31E+00 2.71E-08 r  4.5
  6.06E+10 7.93E-03 6.89E+33 1.60E+06 2.16E+13 1.01E-01 7.32E+00 2.55E-08 r  4.5
  6.07E+10 7.80E-03 6.89E+33 1.59E+06 2.11E+13 9.90E-02 7.34E+00 2.41E-08 r  4.5
  6.08E+10 7.67E-03 6.89E+33 1.59E+06 2.07E+13 9.74E-02 7.36E+00 2.26E-08 r  4.5
  6.09E+10 7.54E-03 6.89E+33 1.58E+06 2.02E+13 9.57E-02 7.38E+00 2.13E-08 r  4.5
  6.10E+10 7.41E-03 6.89E+33 1.57E+06 1.98E+13 9.41E-02 7.40E+00 2.01E-08 r  4.5
  6.11E+10 7.28E-03 6.89E+33 1.56E+06 1.94E+13 9.25E-02 7.42E+00 1.89E-08 r  4.5
  6.11E+10 7.16E-03 6.89E+33 1.56E+06 1.90E+13 9.10E-02 7.44E+00 1.78E-08 r  4.5
  6.12E+10 7.03E-03 6.89E+33 1.55E+06 1.86E+13 8.94E-02 7.46E+00 1.67E-08 r  4.5
  6.13E+10 6.91E-03 6.89E+33 1.54E+06 1.81E+13 8.79E-02 7.48E+00 1.57E-08 r  4.5
  6.14E+10 6.79E-03 6.89E+33 1.53E+06 1.78E+13 8.64E-02 7.50E+00 1.48E-08 r  4.5
  6.15E+10 6.68E-03 6.89E+33 1.53E+06 1.74E+13 8.50E-02 7.52E+00 1.39E-08 r  4.5
  6.16E+10 6.56E-03 6.89E+33 1.52E+06 1.70E+13 8.35E-02 7.54E+00 1.31E-08 r  4.5
  6.17E+10 6.45E-03 6.89E+33 1.51E+06 1.66E+13 8.21E-02 7.56E+00 1.23E-08 r  4.5
  6.17E+10 6.33E-03 6.89E+33 1.50E+06 1.62E+13 8.07E-02 7.58E+00 1.15E-08 r  4.5
  6.18E+10 6.22E-03 6.89E+33 1.50E+06 1.59E+13 7.93E-02 7.59E+00 1.08E-08 r  4.5
  6.19E+10 6.11E-03 6.89E+33 1.49E+06 1.55E+13 7.79E-02 7.62E+00 1.02E-08 r  4.5
  6.20E+10 6.00E-03 6.89E+33 1.48E+06 1.52E+13 7.66E-02 7.64E+00 9.55E-09 r  4.5
  6.21E+10 5.90E-03 6.89E+33 1.47E+06 1.49E+13 7.52E-02 7.66E+00 8.97E-09 r  4.5
  6.22E+10 5.79E-03 6.89E+33 1.47E+06 1.45E+13 7.39E-02 7.68E+00 8.42E-09 r  4.5
  6.23E+10 5.69E-03 6.89E+33 1.46E+06 1.42E+13 7.26E-02 7.70E+00 7.90E-09 r  4.5
  6.23E+10 5.59E-03 6.89E+33 1.45E+06 1.39E+13 7.14E-02 7.72E+00 7.41E-09 r  4.5
  6.24E+10 5.49E-03 6.89E+33 1.44E+06 1.36E+13 7.01E-02 7.74E+00 6.95E-09 r  4.5
  6.25E+10 5.39E-03 6.89E+33 1.44E+06 1.33E+13 6.89E-02 7.76E+00 6.52E-09 r  4.5
  6.26E+10 5.29E-03 6.89E+33 1.43E+06 1.30E+13 6.77E-02 7.78E+00 6.11E-09 r  4.5
  6.27E+10 5.20E-03 6.89E+33 1.42E+06 1.27E+13 6.65E-02 7.80E+00 5.72E-09 r  4.5
  6.28E+10 5.10E-03 6.89E+33 1.42E+06 1.24E+13 6.53E-02 7.82E+00 5.36E-09 r  4.5
  6.29E+10 5.01E-03 6.89E+33 1.41E+06 1.21E+13 6.42E-02 7.84E+00 5.02E-09 r  4.5
  6.30E+10 4.92E-03 6.89E+33 1.40E+06 1.18E+13 6.30E-02 7.86E+00 4.71E-09 r  4.5
  6.30E+10 4.83E-03 6.89E+33 1.39E+06 1.16E+13 6.19E-02 7.89E+00 4.41E-09 r  4.5
  6.31E+10 4.74E-03 6.89E+33 1.39E+06 1.13E+13 6.08E-02 7.91E+00 4.12E-09 r  4.5
  6.32E+10 4.65E-03 6.89E+33 1.38E+06 1.10E+13 5.97E-02 7.93E+00 3.86E-09 r  4.5
  6.33E+10 4.57E-03 6.89E+33 1.37E+06 1.08E+13 5.87E-02 7.95E+00 3.61E-09 r  4.5
  6.34E+10 4.48E-03 6.89E+33 1.37E+06 1.05E+13 5.76E-02 7.97E+00 3.38E-09 r  4.5
  6.35E+10 4.40E-03 6.89E+33 1.36E+06 1.03E+13 5.66E-02 7.99E+00 3.16E-09 r  4.5
  6.36E+10 4.31E-03 6.89E+33 1.35E+06 1.01E+13 5.55E-02 8.02E+00 2.95E-09 r  4.5
  6.36E+10 4.23E-03 6.89E+33 1.35E+06 9.83E+12 5.45E-02 8.04E+00 2.76E-09 r  4.5
  6.37E+10 4.15E-03 6.89E+33 1.34E+06 9.61E+12 5.35E-02 8.06E+00 2.58E-09 r  4.5
  6.38E+10 4.08E-03 6.89E+33 1.33E+06 9.38E+12 5.26E-02 8.08E+00 2.41E-09 r  4.5
  6.39E+10 4.00E-03 6.89E+33 1.32E+06 9.16E+12 5.16E-02 8.11E+00 2.25E-09 r  4.5
  6.40E+10 3.92E-03 6.89E+33 1.32E+06 8.95E+12 5.07E-02 8.13E+00 2.10E-09 r  4.5
  6.41E+10 3.85E-03 6.89E+33 1.31E+06 8.74E+12 4.97E-02 8.15E+00 1.96E-09 r  4.5
  6.42E+10 3.77E-03 6.89E+33 1.30E+06 8.53E+12 4.88E-02 8.17E+00 1.83E-09 r  4.5
  6.42E+10 3.70E-03 6.89E+33 1.30E+06 8.33E+12 4.79E-02 8.20E+00 1.71E-09 r  4.5
  6.43E+10 3.63E-03 6.89E+33 1.29E+06 8.14E+12 4.70E-02 8.22E+00 1.59E-09 r  4.5
  6.44E+10 3.56E-03 6.89E+33 1.28E+06 7.94E+12 4.62E-02 8.24E+00 1.49E-09 r  4.5
  6.45E+10 3.49E-03 6.89E+33 1.28E+06 7.76E+12 4.53E-02 8.27E+00 1.38E-09 r  4.5
  6.46E+10 3.42E-03 6.89E+33 1.27E+06 7.57E+12 4.45E-02 8.29E+00 1.29E-09 r  4.5
  6.47E+10 3.36E-03 6.89E+33 1.26E+06 7.39E+12 4.36E-02 8.32E+00 1.20E-09 r  4.5
  6.48E+10 3.29E-03 6.89E+33 1.26E+06 7.21E+12 4.28E-02 8.34E+00 1.12E-09 r  4.5
  6.49E+10 3.22E-03 6.89E+33 1.25E+06 7.04E+12 4.20E-02 8.36E+00 1.04E-09 r  4.5
  6.49E+10 3.16E-03 6.89E+33 1.24E+06 6.87E+12 4.12E-02 8.39E+00 9.71E-10 r  4.5
  6.50E+10 3.10E-03 6.89E+33 1.24E+06 6.70E+12 4.05E-02 8.41E+00 9.03E-10 r  4.5
  6.51E+10 3.04E-03 6.89E+33 1.23E+06 6.54E+12 3.97E-02 8.44E+00 8.40E-10 r  4.5
  6.52E+10 2.98E-03 6.89E+33 1.22E+06 6.38E+12 3.89E-02 8.46E+00 7.81E-10 r  4.5
  6.53E+10 2.92E-03 6.89E+33 1.22E+06 6.23E+12 3.82E-02 8.49E+00 7.26E-10 r  4.5
  6.54E+10 2.86E-03 6.89E+33 1.21E+06 6.08E+12 3.75E-02 8.51E+00 6.75E-10 r  4.5
  6.55E+10 2.80E-03 6.89E+33 1.20E+06 5.93E+12 3.68E-02 8.54E+00 6.27E-10 r  4.5
  6.55E+10 2.74E-03 6.89E+33 1.20E+06 5.78E+12 3.60E-02 8.56E+00 5.83E-10 r  4.5
  6.56E+10 2.69E-03 6.89E+33 1.19E+06 5.64E+12 3.54E-02 8.59E+00 5.41E-10 r  4.5
  6.57E+10 2.63E-03 6.89E+33 1.18E+06 5.50E+12 3.47E-02 8.61E+00 5.02E-10 r  4.5
  6.58E+10 2.58E-03 6.89E+33 1.18E+06 5.36E+12 3.40E-02 8.64E+00 4.66E-10 r  4.5
  6.59E+10 2.52E-03 6.89E+33 1.17E+06 5.23E+12 3.33E-02 8.66E+00 4.32E-10 r  4.5
  6.60E+10 2.47E-03 6.89E+33 1.16E+06 5.10E+12 3.27E-02 8.69E+00 4.01E-10 r  4.5
